"code","name","buy_date","buy_price","latest_price","change_pct_since_buy","pnl_100","latest_day_pct","latest_amount","updated_at","industry","reason_tag"
"600688","上海石化","2026-03-02","3.49","3.6","3.15","11","-6.25","1514374284","2026-03-05 01:26:40","炼化及贸易","资源周期驱动"
"600108","亚盛集团","2026-03-02","4.37","5.29","21.05","92","9.98","1797908328","2026-03-05 01:26:40","种植业","强势涨停动量"
"000912","泸天化","2026-03-02","5.35","5.68","6.17","33","5.19","789617259.11","2026-03-05 01:26:40","农化制品","化工景气修复"
"600227","赤天化","2026-03-02","3.17","3.2","0.95","3","-3.61","704704253","2026-03-05 01:26:40","农化制品","化工轮动分化"
"600028","中国石化","2026-03-02","7.11","7.4","4.08","29","-5.37","9275790665","2026-03-05 01:26:40","炼化及贸易","资源周期驱动"
"000890","法尔胜","2026-03-02","8.43","8.87","5.22","44","10.05","993406348.82","2026-03-05 01:26:40","环保设备Ⅱ","短线动量延续"
"000554","泰山石油","2026-03-02","9.86","11.62","17.85","176","7.1","1932994383.41","2026-03-05 01:26:40","炼化及贸易","资源链强动量"
"600968","海油发展","2026-03-02","5.04","5.63","11.71","59","1.62","2691052426","2026-03-05 01:26:40","油服工程","资源链强动量"
"000096","广聚能源","2026-03-02","12.06","12.15","0.75","9","-8.44","721501947.16","2026-03-05 01:26:40","炼化及贸易","资源周期驱动"
"601857","中国石油","2026-03-02","11.95","13.24","10.79","129","0.68","14020847688","2026-03-05 01:26:40","炼化及贸易","资源链强动量"
"600256","广汇能源","2026-03-02","6.47","6.88","6.34","41","-3.37","5784639720","2026-03-05 01:26:40","炼化及贸易","资源周期驱动"
"600435","北方导航","2026-03-02","18.87","18.62","-1.32","-25","5.08","2273990506","2026-03-05 01:26:40","地面兵装Ⅱ","动量衰减观察"
"600714","金瑞矿业","2026-03-02","19.76","22.81","15.44","305","4.92","1578319419","2026-03-05 01:26:40","化学原料","化工景气强化"
"600452","涪陵电力","2026-03-02","14.61","13.62","-6.78","-99","0","1560336814","2026-03-05 01:26:40","电力","公用事业防御"
"002413","雷科防务","2026-03-02","16.36","16.07","-1.77","-29","-0.37","4899896844.79","2026-03-05 01:26:40","军工电子Ⅱ","高波动题材回撤"
"002040","南 京 港","2026-03-02","11.97","11.85","-1","-12","-10.02","745536377","2026-03-05 01:26:40","航运港口","资源周期驱动"
"601808","中海油服","2026-03-02","18.56","20.68","11.42","212","1.27","3467720067","2026-03-05 01:26:40","油服工程","资源链强动量"
"600722","金牛化工","2026-03-02","10.32","11.98","16.09","166","5.55","2363460720","2026-03-05 01:26:40","化学原料","化工景气强化"
"000070","特发信息","2026-03-02","19.66","19.21","-2.29","-45","4.06","2224156682.11","2026-03-05 01:26:40","通信设备","高波动题材回撤"
"600301","华锡有色","2026-03-02","71.24","69.2","-2.86","-204","-2.52","1333266751","2026-03-05 01:26:40","小金属","动量衰减观察"
